row_no,headline,body_text,class
61,Manchester United transfer news: Red Devils still pursuing Real Madrid winger Gareth Bale,"Manchester United have not given up hope of landing Real Madrid star Gareth Bale this summer. The Wales international's future at the Bernabeu is up in the air at the moment as he wants assurances about his role in the team. Despite scoring twice in the Champions League final against Liverpool , Bale was not always a guaranteed starter for Real Madrid last season. It has left the 28-year-old mulling over his options and, according to AS, Manchester United are still pursuing him. The winger has long been linked with a move to Old Trafford and this summer could be the moment it finally happens. Bale's agent is due to meet with Real Madrid president Florentino Perez in the coming weeks to discuss his client's future. Cristiano Ronaldo's departure may mean the Welshman has a bigger role to play next season, but that is still uncertain. Manchester United, meanwhile, are patiently waiting in case the opportunity arrives for them to make a formal offer.",FALSE
62,Barcelona make second bid of £60m for Chelsea star Willian,"Barcelona have submitted a new, second offer of £60m for Chelsea winger Willian after their first bid was rejected . The Catalans initially priced the Brazilian at £50m, but have now reportedly upped their figure. According to the Mail , Barcelona's latest offer consists of £55m (plus £5m in add-ons) as they look to tempt the Blues into parting with the 29-year-old. Willian impressed for his country at the 2018 World Cup, despite quarter-final elimination at the hands of Belgium. Chelsea are understood to value their right-sided attacker at £70m and have no intention of selling him at present. The situation at the club is currently very much unresovled with Antonio Conte sacked on Thursday, despite returning to pre-season training.",FALSE
63,Arsenal transfer news: Barcelona interested in Gunners target Cristian Pavon after Lionel Messi recomendation,"Barcelona are ready to swoop for Arsenal target Cristian Pavon after Lionel Messi urged the club to sign him. The winger has been getting rave reviews for Boca Juniors and it earned him a spot in Argentina's World Cup squad. The 22-year-old showed flashes of brilliance in Russia which demonstrated why Arsenal have been tracking him. But now the Gunners risk being blown out of the water as, according to AS, Messi has told Barcelona to sign Pavon. Messi has played alongside the winger for Argentina and he has been impressed by his talent. The 31-year-old now wants Barca to fork over the cash for the youngster so he can join him at the Nou Camp. The Spanish champions are in the market for a new forward and failed with an approach for Atletico Madrid's Antoine Griezmann. Pavon could now become their new number one target, especially if Messi is pushing his case.",FALSE
64,Liverpool transfer target Jasper Cillessen demands showdown talks with Barcelona,"Jasper Cillessen has called for showdown talks with Barcelona – amid interest from Liverpool. The goalkeeper moved to the Spanish champions in 2016 from Ajax but he has made just two league appearances since then. The 29-year-old has instead had to settle for playing time in cup competitions and he is now ready to leave. Liverpool are interested in Cillessen as they have prioritised bringing in a new goalkeeper this summer to replace Loris Karius . The Reds had been looking at Alisson of Roma, but it appears as though he is off to Real Madrid . That has pushed Cillessen forward as a viable alternative and the Dutchman is aware of Liverpool's interest. As such, according to Sport, he has called for talks with Barca to clarify his future. Cillessen's current contract at the Nou Camp runs until June 2021 and has a release clause worth over £50m. However, it is reported that Barcelona would be willing to let him leave for half of that.",FALSE
65,Liverpool transfer news: Reds in talks with Stoke City about Xherdan Shaqiri signing,"Liverpool will try and make Stoke City's Xherdan Shaqiri their third signing of the summer. The Reds have already snapped up Naby Keita from RB Leipzig and Fabinho from Monaco, with the Switzerland international now firmly in their sights. According to the Telegraph , Liverpool have opened negotiations with Stoke and want to trigger the player's release clause, which is believed to be around £13million. The 26-year-old will be allowed to leave the club following their relegation from the Premier League last season. He had been representing his country at the World Cup, but his involvement ended when Sweden beat them 1-0 in the last 16. Shaqiri has been at Stoke since 2015 when the Potters paid Inter £12m for him.",TRUE
66,Barcelona complete signing of Clement Lenglet from Sevilla and hand him £265million release clause,"Barcelona have completed the signing of Clement Lenglet from Sevilla, the club have announced. The Spanish title holders have paid the £31.7million release clause in the centre-back's contract. Lenglet only spent one season in Sevilla, joining from Nancy for just £4.4million last summer but impressed sufficiently with his defensive skills and his ball-playing ability. Lenglet has signed a five-year deal at the Nou Camp and will have a release clause worth £265million. Barcelona themselves describe the player as ""one of the most promising defenders on the planet"" and say he ""completes a spectacular defence"" as he fits in along with fellow centre-backs Gerard Pique , Samuel Umtiti and Thomas Vermaelen. The signing does, though, call into question the future of current Barcelona defender Yerry Mina , who wasn't named among their centre-backs in the statement. The 23-year-old impressed at the World Cup, where he scored three times for Colombia.",TRUE
67,Xherdan Shaqiri undergoing Liverpool medical ahead of move from Stoke,"Xherdan Shaqiri's medical ahead of a move to Liverpool from Stoke is still ongoing and progressing well, Sky Sports News understands. Stoke have accepted a bid of just over £13.5m after Liverpool met the release clause valuation in Shaqiri's contract. The Swiss midfielder said it was ""no secret"" he wished to leave Stoke following their relegation from the Premier League. His last-minute winner against Serbia sent Switzerland through to the World Cup round of 16 before their campaign drew to a close with a defeat to Sweden. Shaqiri joined Stoke in 2015 from Inter Milan before going on to make 84 league appearances for the club. He has two years left on his current deal at the bet365 Stadium. Midfielders Fabinho and Naby Keita have already become Liverpool players this summer, but manager Jurgen Klopp has been on the hunt for a more creative, direct replacement for Philippe Coutinho. Klopp appeared set to sign Lyon's Nabil Fekir before the World Cup but Lyon released a statement earlier last month announcing they had ended negotiations .",TRUE
68,"Barcelona table second Willian bid, believed to be worth up to £53m","Barcelona have tabled a second bid - believed to be worth up to £53m - for Chelsea winger Willian, Sky Sports News understands. Last week, SSN broke the news of Barcelona's initial £50m bid for the Brazilian , with talks still ongoing between the two clubs and representatives of the player. Sky sources understand the La Liga champions first began efforts to lure Willian to the Nou Camp as long as three months ago. SSN reported in May that Manchester United are also interested in signing the versatile winger, who received rave reviews during the World Cup, despite Brazil's exit at the hands of Belgium in the quarter-finals. Willian made 55 appearances in all competitions for Chelsea last season, scoring 13 goals. He has scored 44 goals in 236 appearances for Chelsea since joining from Russian side Anzhi Makhachkala in 2013.",FALSE
69,Stoke want Liverpool winger Sheyi Ojo as part of £13.5m Xherdan Shaqiri deal,"STOKE City want Liverpool winger Sheyi Ojo as part of the deal to take Xherdan Shaqiri to Anfield. Potters boss Gary Rowett will lose Swiss star Shaqiri for a knockdown £13.5million as part of a release clause. Talks are ongoing as Rowett hopes to sign Ojo, 21, on loan. Former Derby chief Rowett is also keen on Liverpool 's up-and-coming Wales wide man Harry Wilson - but he is currently interesting 11 Championship sides. Wilson, who has also interested Celtic and Rangers, could choose to stay at Anfield and try to force his way into Jurgen Klopp's plans. Meanwjile, Shaqiri, 26, is seen as ideal back-up for the Reds' front three of Mohamed Salah, Roberto Firmino and Sadio Mane . The former Bayern Munich playmaker is convinced he should - and will - remain in the top flight. He said recently: ""Of course, I would like to play on the biggest stage in football. Everybody knows that. ""I want to stay in the Premier League, and you will find out my new club soon."" Manchester United have also shown interest in the former Inter Milan star Old Trafford boss Jose Mourinho has already signed Shakhtar Donetsk's Fred , while Liverpool recruited fellow Brazilian Fabinho .",FALSE
70,'You know my preferred destination' – Eden Hazard 'ready to leave Chelsea' amid interest from Real Madrid,"Eden Hazard is ready to leave Chelsea this summer, with Real Madrid his preferred destination. The Belgium captain, who was speaking after his country's 2-0 win over England, told reporters 'it might be time to discover something different'. Ever since Cristiano Ronaldo confirmed he was signing for Juventus , speculation has been rife as to who the LaLiga side would look to replace him with. And it seems Hazard has thrown his own name into the hat. Speaking to Belgian newspaper HLN, he said: ""After 6 wonderful years at Chelsea it might be time to discover something different, certainly after this World Cup. ""I can decide if I want to stay or go, but Chelsea will make the final decision – if they want to let me go. ""You know my preferred destination."" The forward arrived in west London from Lille in a £32 million move back in 2012 – immediately after the Blues had won the Champions League. Even though new boss Maurizio Sarri will be looking to shake things up after Antonio Conte's departure, it seems as though even that may not be enough to convince the 27-year-old to stay. ""We knew already for a while that Sarri was going to become the new manager,"" he continued. ""If he's a good manager? If he lets me win trophies, yes. ""Dries Mertens has told me he's a good coach. We'll have to work hard, The Italian way. ""But we were used to that with Antonio too.""",TRUE
71,Chelsea transfer news: Blues and Real Madrid in talks over Thibaut Courtois deal but no fee agreed,"Chelsea and Real Madrid are in talks over a possible transfer involving goalkeeper Thibaut Courtois. The goalkeeper has been linked with a move away from Stamford Bridge this summer and now it appears a switch is a step closer. HLN journalist Kristof Terreur believes, while no fee has been agreed, the two clubs have been in dialogue . Madrid isn't unfamiliar territory for Courtois with the players spending three years in the city with Atletico while on loan from Chelsea, with his wife and children continuing to live in the city. This is set to play a major role in whether the Belgian, who has just one year left on his contract, stays in west London or leaves for Spain. ""I love living in London. Madrid and London are great,"" Courtois said earlier on during the World Cup . ""The only thing is that my children live in Madrid, I would like them to be close. ""That doesn't mean I'm going to come back, but for me they are very important and I'm going to do something to see them more."" ""I'm not going to talk about that (my future) now. I just said that I'll see everything after the World Cup. ""The most important thing is my children and I'll decide what's best for me in everything.""",TRUE
72,Manchester United transfer news: Paul Pogba 'offered to Barcelona' by agent Mino Raiola – reports,"Manchester United midfielder Paul Pogba has been offered to Barcelona agent by his agent, according to reports. Mino Raiola was at Barca's training ground earlier this week and Mundo Deportivo claim the idea of the £89million man moving to the Nou Camp was discussed. Pogba and United boss Jose Mourinho have had some issues and Pogba would reportedly be ""happy"" to leave the club. The Frenchman was linked with a move to the LaLiga giants in 2015 after showing stunning form at Juventus but that move never worked out. He then rejoined the Red Devils in 2016 in what was a world-record transfer fee at the time. Reports also emerged during the back end of last season that Pogba was offered to United's local rivals Manchester City . Pogba, 25, is currently on World Cup duty with France who play Croatia in the final on Sunday – a game you can listen to live on talkSPORT from 4pm. He has been in impressive form for Didier Deschamps' side and Mourinho – who is working as a pundit for Russian TV channel RT was quick to praise Pogba after Les Bleus' semi-final win over Belgium . Mourinho said: ""Pogba was mature, he played with great maturity. When he had to hold position and to keep control of the game he did.""",FALSE
73,Chelsea transfer news: Barcelona want N'golo Kante and will offer Andre Gomes to get France international,"N'golo Kante is wanted by LaLiga champions Barcelona this summer. The Spanish side are keen to lure the France international away from Stamford Bridge after his meteoric rise has seen him nominated for the Ballon d'Or. According to Sky Sports, the Catalan giants are willing to offer Andre Gomes as part of a swap deal. Kante arrived in the Premier League in 2015 after signing for Leicester City in 2015. His tenacity and incredible engine were integral as the Foxes won the title that season in a stunning turn of events. A £32 million move to the Blues soon followed, and he managed to bring the Premier League trophy with him as Antonio Conte won the league in his first season. The 27-year-old is currently on international duty with France and is preparing with Les Bleus ahead of the World Cup Final with Croatia. Gomes, a Portugal international, is valued at £17.5 milion but did not travel with Barca for their pre-season tour of the USA. In the past, he has been linked with moves to West Ham United and Tottenham Hotspur, but it appears as though Chelsea is his most likely destination.",FALSE
74,Liverpool transfer news: Stoke City winger Xherdan Shaqiri joins in £13 million deal,"Liverpool have confirmed the signing of Stoke City winger Xherdan Shaqiri on a long-term deal. The Switzerland international, who featured for his country at the World Cup in Russia, was unable to stop the Potters from slipping into the Championship last season. The 26-year-old scored 15 goals in 84 league appearances for the Potters in three years at the bet365 Stadium. He told the club's official website he was delighted to be arriving at Anfield. Shaqiri revealed: ""It's a huge club with big history, big players and a fantastic coach. So I'm really glad and happy to be here. ""As a player you always want to be on the biggest stage in football. A few years ago I wanted to come too but it didn't happen. I'm really happy that now I'm finally here. ""I want to improve myself too, I want to be with the best and I want to win titles. That's what I'm here for."" The deal, which is believed to be around £13 million, was completed late on Friday evening after a lengthy medical procedure. He will wear the number 23 shirt for the Reds, previously vacated by Emre Can – who left to join Juventus earlier this summer.",TRUE
75,Liverpool transfer news: Barcelona set £25m asking price for shot-stopper Jasper Cillessen,"Liverpool have been quoted a price of £25 million for Jasper Cillessen, with Barcelona ready to let him leave. After making just two LaLiga appearances in two years, the goalkeeper is prepared to quit the Camp Nou. According to Spanish publication Sport, the Reds are extremely interested in making a deal happen, but will have to pay £25 million. Jurgen Klopp has become exasperated with his error-strewn first-choice options; Simon Mignolet and Loris Karius. Despite publicly backing Karius , high-profile errors in pre-season have changed the German's mind , with Cillessen a serious contender for the No.1 spot at Anfield. It was also reported that Danny Ward would be given an opportunity to compete for the No.1 spot , having enjoyed a succession of loan spells in the lower leagues. However, the availability of the Netherlands seems to have changed Klopp's mind. The La Liga club have agreed to accept Cillessen's wishes and they have let him know he can go.",FALSE
76,Man City transfer news: Real Madrid demand £80m for midfielder Mateo Kovacic,"The Premier League champs have Kovacic, who is in the Croatia squad for today's World Cup Final against France, as their new target after Napoli's Jorginho joined Chelsea yesterday. But Real will only sell the defensive midfielder, 24, if their valuation is met. Jorginho had been one of City boss Pep Guardiola's top targets and the Daily Star Sunday understands the Brazil-born Italy international originally wanted to move to The Etihad. But Chelsea moved in, with Maurizio Sarri – Jorginho's mentor – replacing Antonio Conte as manager at Stamford Bridge. Jorginho, 26 penned a five-year deal on Saturday. City have only just broken their transfer record with the £60m signing of winger Riyad Mahrez, 27, from Leicester. Meanwhile, they will sign Claudio Gomes this month when he reaches the age of 18. The midfielder – one of the best young players in France – will quit Paris Saint-Germain and sign a five-year deal at City.",FALSE
77,Southampton set to make bid for Liverpool forward Danny Ings,"Southampton have reportedly made a bid to sign Liverpool striker Danny Ings. Saints manager Mark Hughes is understood to be keen on taking the 25-year-old down to the South Coast after a lacklustre spell at Anfield. Liverpool want a fee of £20m for Ings, who they signed from Burnley for less than half that in 2015. According to the Sun , Southampton are willing to pay around £10m, with extras on appearances – relating to the fact he has suffered multiple injuries while with the Reds. Crystal Palace are also interested in the forward, though the Saints have taken the lead by lodging an official bid. Liverpool and Southampton have done plenty of business together in recent years and so Mark Hughes will undoubtedly be hoping that relationship can be utilised in their favour.",TRUE
78,Liverpool transfer news: Jasper Cillessen to 'analyse' Reds offer as he considers leaving Barcelona,"Liverpool have made an offer for Jasper Cillessen that the Barcelona goalkeeper will 'analyse', according to reports. Cillessen, the Netherlands international, is considering his future at Camp Nou having made just 21 appearances for Barca since joining the Catalan club this time two years ago. Though the 29-year-old is happy to be Barca's cup keeper, he will look to secure a transfer if offered the opportunity to be No1 at a new team, and Liverpool have made an offer for the Dutchman. Jurgen Klopp, the Liverpool manager, is looking for a new glovesman following Loris Karius' disaster in last season's Champions League final, though the Reds have been priced out of a move for their prime target, Alisson of Roma. Cillessen is regarded as a more viable option, and, according to Mundo Deportivo , the former Ajax star is ready to 'analyse' Liverpool's offer as he considers whether to call it a day at Camp Nou. Liverpool's Premier League rivals Chelsea are also reported to be keeping tabs on Cillessen's situation, as they may be forced to move for a new glovesman themselves if Thibaut Courtois completes a move to Real Madrid , as is expected.",FALSE
79,Manchester City will need to smash their record transfer fee for Real Madrid outcast Mateo Kovacic – reports,"Manchester City have been told by Real Madrid they will have to pay a whopping £80million for Mateo Kovacic . The wantaway midfielder is the latest target for the Premier League champions after they missed out on Jorginho, who followed new Chelsea boss Maurizio Sarri to Stamford Bridge on Saturday. But according to the Daily Star , the LaLiga giants will only sell Kovacic if their valuation is met. Kovacic, who was a part of Croatia's World Cup squad that lost in the final to France , has also reportedly attracted interest from Chelsea and Tottenham too. If City were to meet Real's demands it would be the second time they have broken their transfer record fee after landing Riyad Mahrez for £60million earlier this week.",FALSE
80,Tottenham transfer news: Barcelona misfit Andre Gomes has chosen Spurs as his ideal destination,"Barcelona misfit Andre Gomes has set his sights on Tottenham in a bid to revive his career. The 24-year-old was voted the worst signing of the season by Marca readers in 2017 after failing to emulate his Valencia form at the Nou Camp. And now, according to Mundo Deportivo , the midfielder is looking to engineer a move to Spurs. The north Londoners were interested in signing Gomes last season and the Portugal international is reportedly fond of Mauricio Pochettino's style of play. It is understood that the Premier League is his preferred destination and the midfielder has also been linked to Chelsea . Gomes has recently switched agents and no longer works with Jorge Mendes. His new representative and brother, Paul Martin, works regularly with clubs in England and is very well connected. Gomes has started pre-season with Barca but it is clear his future does not lie with the Catalans.",FALSE
81,"Chelsea transfer news: Eden Hazard set for Real Madrid move, says ex-Blues star Brian Laudrup","Chelsea superstar Eden Hazard is set to move to Real Madrid this summer, according to former Blues star Brian Laudrup. Having sold Cristiano Ronaldo to Juventus it is only a matter of time before the Spaniards splash the cash and it seems the Belgian star has been chosen as his replacement. Neymar has reportedly snubbed Real's interest in him as he wanted to play alongside Ronaldo, while Kylian Mbappe is also on the wishlist at the Bernabeu. But Denmark legend Laudrup, who played 11 games for Chelsea in the 1998/99 season, has revealed Hazard is the man set to move to Madrid. He told Sportske Novosti : ""I spoke to Eden Hazard a few days ago, he is preparing for a move to Real Madrid and it is a good move both for him and for Real. ""Again in Russia, he proved how good he is."" Hazard has already hinted he could leave Chelsea this summer and prior to the tournament he told beIN SPORTS : ""I think Real is everyone's dream. For now, it's the World Cup. ""As I have said at least 100 times, I am at Chelsea and for the moment nobody has made me an offer.""",FALSE
82,Manchester City baulk at Real Madrid's Mateo Kovacic asking price,"Manchester City are unwilling to meet Real Madrid's valuation for midfielder Mateo Kovacic, according to Sky sources. The Premier League champions are considering a move for another central midfielder this summer after their number one target Jorginho signed for Chelsea. Kovacic - a key member of the Croatia squad that reached the World Cup final - is one player they have looked at but Real's reported asking price of £80m is considered too high. City have also shown interest in Mario Lemina from Southampton, but despite losing out on Jorginho it is not certain they will strengthen before the transfer window closes in August. It is understood City boss Pep Guardiola is happy with his squad as they prepare to fly to the USA on Tuesday for their pre-season tour. City broke their transfer record last week when they completed a £60m deal for Riyad Mahrez from Leicester City. Their first game of the Premier League sees them head to Arsenal on August 12, live on Sky Sports. Man City's full fixture list",TRUE
